Assemblage,Diversity,Observed,Estimator,s.e.,LCL,UCL
ETRM,Species richness,45,47.080888106416275,6.2295479130384805,45,59.29057765593835
ETRM,Shannon diversity,25.073366655519326,25.805018573635973,0.8488796248997972,24.1412450816225,27.468792065649446
ETRM,Simpson diversity,19.004712535344016,19.415488431876614,0.810063705473299,17.827792743965887,21.003184119787342
NSCG1RM,Species richness,18,24.213235294117645,7.789240008562511,18,39.479865177838626
NSCG1RM,Shannon diversity,8.330764813037465,8.969647427790642,0.8067252170465441,7.388495056959157,10.550799798622126
NSCG1RM,Simpson diversity,5.686737504919323,5.848941368078163,0.5433162812740996,4.784061024566694,6.913821711589631
NSFW01RM220620,Species richness,44,76.58396624472573,15.781076776083815,45.653624126339984,107.51430836311147
NSFW01RM220620,Shannon diversity,14.928374884456252,16.404091749888902,1.3400061203888682,13.777728014863476,19.030455484914327
NSFW01RM220620,Simpson diversity,7.262043286013502,7.3793266951161876,0.6668664688059311,6.07229243375916,8.686360956473216
PBDBRM,Species richness,31,59.076677316293924,28.407694591102302,31,114.75473559866772
PBDBRM,Shannon diversity,13.449752083823627,14.747380849303545,1.1852846008366267,12.424265720233823,17.070495978373266
PBDBRM,Simpson diversity,9.435519599345083,9.697715988083408,0.8371759478062907,8.056881281659894,11.338550694506921
x71LW75,Species richness,73,103.0500184569952,14.784688341187,74.07256178561946,132.02747512837095
x71LW75,Shannon diversity,33.774133846211846,35.83344397054884,1.3968468964913725,33.095674361509204,38.57121357958848
x71LW75,Simpson diversity,19.514395117865245,19.92334034538426,1.2730993681381646,17.42811143509276,22.418569255675763
