Assemblage,m,Method,Order.q,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL
APSM07MPYB3,1,Rarefaction,0,0.9999999999999998,0.9999999999999996,1,0.25673494723777723,0.22040919696794742,0.29306069750760705
APSM07MPYB3,11,Rarefaction,0,4.472888148644031,4.097726645577396,4.8480496517106655,0.8442826311769798,0.8177523636467049,0.8708128987072546
APSM07MPYB3,21,Rarefaction,0,5.655850837814421,5.107636015486111,6.2040656601427315,0.9143228783526777,0.8911372311278033,0.937508525577552
APSM07MPYB3,31,Rarefaction,0,6.364269584302085,5.658520895487923,7.070018273116247,0.9431092646841891,0.9238536294460047,0.9623648999223735
APSM07MPYB3,41,Rarefaction,0,6.865364666769683,6.016721530736407,7.714007802802958,0.9564137746235148,0.9404854665128202,0.9723420827342095
APSM07MPYB3,51,Rarefaction,0,7.267216133154591,6.295364977032659,8.239067289276521,0.9632467432646824,0.9494738116205577,0.9770196749088071
APSM07MPYB3,61,Rarefaction,0,7.614562635150614,6.536809710092903,8.692315560208327,0.9674367989272443,0.954979030549314,0.9798945673051747
APSM07MPYB3,71,Rarefaction,0,7.925712522430017,6.75552926435687,9.095895780503165,0.9705256704099675,0.9588878302653635,0.9821635105545715
APSM07MPYB3,81,Rarefaction,0,8.208575544883317,6.9561335972890985,9.461017492477534,0.9730973175575931,0.9619876419926497,0.9842069931225365
APSM07MPYB3,91,Rarefaction,0,8.467194440136204,7.140134717516848,9.79425416275556,0.9753639418809668,0.9645951513470138,0.9861327324149197
APSM07MPYB3,101,Rarefaction,0,8.704199530985154,7.308236450341838,10.100162611628468,0.9774059671936844,0.9668449371728527,0.9879669972145162
APSM07MPYB3,111,Rarefaction,0,8.921646275626518,7.460988674842357,10.38230387641068,0.9792619602604922,0.9688062253548224,0.9897176951661619
APSM07MPYB3,121,Rarefaction,0,9.121269470580708,7.598908761003801,10.643630180157615,0.9809588727561511,0.9705254310246906,0.9913923144876117
APSM07MPYB3,131,Rarefaction,0,9.304550011474737,7.722461641667728,10.886638381281745,0.9825209370781524,0.9720402305639964,0.9930016435923084
APSM07MPYB3,141,Rarefaction,0,9.472729500471608,7.832018857091115,11.113440143852102,0.9839718744640131,0.973383757926238,0.9945599910017883
APSM07MPYB3,151,Rarefaction,0,9.626812769900678,7.9278243017000465,11.325801238101308,0.985335334430077,0.9745856957465366,0.9960849731136174
APSM07MPYB3,161,Rarefaction,0,9.76756820048225,8.009968083148998,11.525168317815503,0.9866349597800591,0.975672498804013,0.9975974207561052
APSM07MPYB3,171,Rarefaction,0,9.89552774730852,8.07836492048866,11.71269057412838,0.987894392968925,0.9766674288206708,0.9991213571171792
APSM07MPYB3,179,Rarefaction,0,9.988888888888887,8.123002902080282,11.854774875697492,0.9888888888888889,0.9774108360322009,1
APSM07MPYB3,180,Observed,0,10,8.12794061684576,11.87205938315424,0.989011663597299,0.9767962881311713,1
APSM07MPYB3,1,Rarefaction,1,1,1,1,0.25673494723777723,0.22040919696794742,0.29306069750760705
APSM07MPYB3,11,Rarefaction,1,3.6345200606724473,3.283114996875263,3.9859251244696314,0.8442826311769798,0.8177523636467049,0.8708128987072546
APSM07MPYB3,21,Rarefaction,1,4.167678126173445,3.7081216780494732,4.627234574297416,0.9143228783526777,0.8911372311278033,0.937508525577552
