Assemblage,Diversity,Observed,Estimator,s.e.,LCL,UCL
ETMH,Species richness,41,65.48337856173677,18.757466607311507,41,102.24733755328003
ETMH,Shannon diversity,15.74659970249866,16.066220529443683,0.45255896987139244,15.179221247615208,16.95321981127216
ETMH,Simpson diversity,9.639629087359692,9.696502259775993,0.3972450058401377,8.91791635529092,10.475088164261066
HGMH31MH,Species richness,38,57.527675276752774,18.698286460885846,38,94.17564331270194
HGMH31MH,Shannon diversity,18.981262093502092,21.234850186177,1.39952909912735,18.491823556571607,23.97787681578239
HGMH31MH,Simpson diversity,13.065468777797546,13.676635514018706,0.9566007197738763,11.801732555676816,15.551538472360596
HGMH32,Species richness,39,50.968992248062015,17.76501995334508,39,85.7877915412538
HGMH32,Shannon diversity,18.603719895747165,19.97630061703412,1.0110608314015663,17.994657801307927,21.957943432760313
HGMH32,Simpson diversity,13.380595014741353,13.823986674069955,0.6768003238653045,12.497482414568914,15.150490933570996
RCMB091723,Species richness,43,91.1506164611796,34.354456267772584,43,158.48411345447016
RCMB091723,Shannon diversity,6.6242053532739344,6.7170591446222225,0.1541014188911647,6.4150259136290195,7.0190923756154255
RCMB091723,Simpson diversity,4.798693600303928,4.804777559559376,0.08256999095241672,4.642943351088841,4.966611768029911
x70LW1RicesPit,Species richness,79,109.677471636953,12.156139003057,85.85187699989865,133.50306627400735
x70LW1RicesPit,Shannon diversity,37.5181880559896,41.30223765105668,1.8979549892827092,37.582314227784465,45.02216107432889
x70LW1RicesPit,Simpson diversity,23.61740802779327,24.517610630886345,1.462172565096705,21.651805064114257,27.383416197658434
