Sample ID,Member ,Abra subreflexa,Acteocina candei,Aligena striata,Anachis c.f. virgilina,Anachis parvula,Anadara lienosa,Angulus declivis,Angulus dupliniana,Anomia simplex,Architectonica nobilis,Argopecten comparilis,Ashtarotha undulata,Astarte arata,Astarte concentrica,Astarte exaltata,Astarte symmetrica,Astyris communis,Astyris edensis,Astyris lunata,Barbatia propatula,Bellaspira virginiana,Boreotrophon tetricus,Bornia triangula,Bostrycapulus aculeatus,Calliostoma lapidosum,Calliostoma mitchelli,Calliostoma virginicum,Calyptraea centralis,Cancellaria tabulata,Carditamera arata,Carinodrillia smithfieldensis,Carinorbis lyra,Carolinapecten eboreus,Caryocorbula conradi,Caryocorbula inaequalis,Caryocorbula retusa,Caviturritella alumensis,Caviturritella etiwanensis,Caviturritella terstriata,Cerastoderma virginianum,Chama congregata,Chama corticosa,Chama emmonsii,Chama striata,Chesapecten jeffersonius,Chesapecten madisonius,Chesapecten septenarius,Chioneryx grus,Cinctura rhomboidea,Clathrodrillia impressa,Cochlodesma antiqua,Compsodrillia eburnea,Conasprella marylandica,Cooperella parilis,Corbicula densata,Corbula cuneata,Costaglycymeris subovata,Crassinella lunulata,Crassispira pyrenoides,Crepidula adunca,Crepidula convexa,Crepidula cymbaeformis,Crepidula fornicata,Crepidula plana,Crucibulum grandis,Crucibulum leanum,Crucibulum scutellatum,Ctena speciosa,Cyclocardia granulata,Cymatosyrinx aclinica,Cymatosyrinx lunata,Dentimargo aureocincta,Dentimargo eburneola,Diodora oblonga,Diodora redimicula,Diplodonta nucleiformis,Diplodonta punctulata,Divalinga quadrisulcata,Dosinia acetabula,Drillia chuckatuckensis,Ecphora quadricostata,Ensis directus,Ensis ensiformis,Ensis hughesi,Ensis schmidti,Epitonium aciculum,Epitonium cornigerum,Epitonium fractum,Epitonium microstomum,Eucrassatella virginica,Eulima migrans,Eupleura caudata,Euspira interna,Euspira sayana,Fusinus exilis,Gari dalli,Glossus fraterna,Glycymeris americana,Hesperisternia filicata,Hiatella arctica,Imaclava halei,Iselica globosa,Juliamitrella gardnerae,Leporimetis magnoliana,Lirophora latilirata,Lirosoma sulcosa,Lissodrillia simpsoni,Longchaeus suturalis,Lucinisca cribraria,Macoma arctata,Macoma virginiana,Mactrotoma fragilis,Margaritaria abrupta,Mariacolpus plebeia,Massyla rapella,Melanella laevigata,Mercenaria campechiensis,Mercenaria corrugata,Mercenaria druidi,Modiolus gigas,Modiolus pulchellus,Mulinia congesta,Mulinia lateralis,Nassarina glypta,Nassarius quadrulatus,Neoterebra dislocata,Neverita duplicata,Noetia incile,Noetia limula,Nucula proxima,Nuculana acuta,Oliva canaliculata,Olivella carolinae,Ostrea compressirostra,Ostrea sculpturata,Pandora tuomeyi,Panopea goldfussii,Panopea reflexa,Parvilucina crenella,Parvilucina crenulata,Peristernia filicata,Petaloconchus sculpturatus,Pitar sayana,Placopecten clintonius,Placopecten decemnarius,Planicardium taenopleura,Pleiorytis centenaria,Plicatula gibbosa,Polygona angulata,Prunum bellum,Pseudotorinia nupera,Pterorytis umbrifer,Ptychosalpinx altilis,Ptychosalpinx chesapeakensis,Ptychosalpinx laqueata,Ptychosalpinx tuomeyi,Retusa microtrema,Scalaspira strumosa,Sedilia bella,Seila adamsii,Semele alumensis,Semele subovata,Semelina nuculoides,Serratina aequistriata,Sinum chesapeakensis,Solariella olssoni,Solariella ricei,Sphenia dubia,Spisula confraga,Spisula delumbis,Spisula modicella,Splendrillia arata,Stewartia anodonta,Stralopecten rogersii,Striarca centenaria,Tagelus plebeius,Terebra emmonsi,Terebra grayi,Teredina fistula,Thracia magna,Thylacodes granifera,Tortifusus curvirostra,Trigonostoma perspectiva,Turbonilla beta,Turritella alticostata,Turritella bipertita,Turritella fluxionalis,Turritella pilsbryi,Turritella virginica,Urosalpinx gardnerae,Urosalpinx lepidota,Urosalpinx trossula,Vexillum elaboratum,Volutifusus mutabilis,Volvulella cylindra,Yoldia laevis
AP SM 07MPYB3,SM,0,0,0,0,0,0,0,0,0,0,0,16,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB SM CG 1:3,SM,0,0,0,0,0,0,5,0,0,0,0,41,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,95,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,2,0,0,1,4,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0
AP SM 07CWEB1,SM,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,1,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,169,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
230723XBCG,SM,9,0,0,0,0,0,2,0,0,0,1,85,0,0,83,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,4,1,0,8,3,0,0,0,12,17,3,0,0,70,0,1,0,0,0,6,0,0,0,0,7,0,1,0,0,0,1,0,0,0,4,0,0,530,0,0,3,0,0,0,1,2,0,0,0,1,1,0,0,2,0,0,2,0,19,0,0,0,75,0,1,0,3,0,8,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,5,0,0,6,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,6,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,2,0,66,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,1,1,0,0,4,0,2,0,0,1,0,0
HB SM CG 3:1,SM,0,5,0,0,0,0,1,0,0,0,0,275,0,0,16,0,0,0,0,0,0,1,0,46,0,0,0,0,0,0,3,1,0,0,3,3,0,0,0,5,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,453,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,3,3,0,0,12,0,0,237,0,0,0,0,0,0,42,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,4,0,0,49,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,73,24,0,0,0,0,5,0,5,0,3,0
NS CG1 RM,RM,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,29,3,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71LW75,RM,0,0,0,0,0,0,14,0,0,0,0,26,2,2,2,0,2,0,3,0,1,6,0,12,0,1,2,3,0,3,2,1,14,0,29,5,5,8,1,2,69,3,3,0,0,42,1,1,0,2,2,0,0,0,22,7,4,0,1,0,0,8,128,8,0,21,0,0,44,0,0,0,1,1,0,0,1,0,7,0,5,0,1,0,0,1,0,0,0,37,1,1,28,0,19,0,3,12,14,0,0,0,0,0,0,12,0,1,22,0,7,0,1,0,0,0,7,8,0,0,0,3,0,0,7,1,0,37,0,1,0,0,0,8,12,0,1,7,0,19,0,0,7,0,0,0,1,11,1,0,0,0,4,0,7,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,6,0,6,0,0,2,7,5,0,2,0,1,14,13,0,0,0,5
NSFW-01RM220620,RM,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0,4,0,69,0,1,0,0,0,1,0,0,4,0,18,0,2,3,1,0,14,5,0,0,0,8,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,117,3,0,1,0,0,1,0,3,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,9,0,0,3,2,3,0,0,0,0,0,4,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,1,2,0,0,0,7,0,0,1,0,0,14,0,0,0,0,0,3,23,0,0,0,0,1,1,0,2,0,1,0,0,3,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,4,0,0,0,0,2
PBDB RM,RM,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,16,0,0,18,0,0,0,0,0,5,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET RM,RM,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,13,0,0,0,25,0,0,0,2,0,0,0,0,37,0,0,0,0,1,35,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,82,0,0,6,12,0,16,0,0,0,0,0,17,0,0,0,3,23,0,0,0,0,0,3,0,0,4,12,0,0,6,0,33,0,1,0,0,0,0,0,0,0,0,24,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,11,0,35,30,0,2,0,0,0,6,38,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,1,8,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,68,0,0,0,0,69,18,0,0,0,0
