Sample ID,AP SM 07MPYB3,HB SM CG 1:3,AP SM 07CWEB1,230723XBCG,HB SM CG 3:1,NS CG1 RM,71LW75,NSFW-01RM220620,PBDB RM,ET RM,HGMH3-1(MH),HGMH3-2,RCMB091723,ET MH,70LW1 (Rice's Pit)
Member ,SM,SM,SM,SM,SM,RM,RM,RM,RM,RM,MH,MH,MH,MH,MH
Abra subreflexa,0,0,0,9,0,0,0,0,0,0,1,2,1,0,1
Acteocina candei,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Aligena striata,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Anachis c.f. virgilina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Anachis parvula,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2
Anadara lienosa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Angulus declivis,0,5,0,2,1,0,14,3,0,0,1,1,48,4,7
Angulus dupliniana,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anomia simplex,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0
Architectonica nobilis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Argopecten comparilis,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Ashtarotha undulata,16,41,5,85,275,3,26,4,0,0,5,26,0,6,0
Astarte arata,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Astarte concentrica,0,0,0,0,0,0,2,0,69,0,0,0,0,0,0
Astarte exaltata,66,3,0,83,16,0,2,0,0,0,0,0,0,0,0
Astarte symmetrica,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Astyris communis,0,0,0,0,0,0,2,2,0,0,4,0,1,47,0
Astyris edensis,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Astyris lunata,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
Barbatia propatula,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Bellaspira virginiana,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Boreotrophon tetricus,0,0,0,1,1,0,6,4,0,13,0,0,0,0,3
Bornia triangula,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0
Bostrycapulus aculeatus,0,0,0,11,46,0,12,69,1,0,6,16,9,0,19
Calliostoma lapidosum,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Calliostoma mitchelli,0,0,0,0,0,0,1,1,0,25,1,0,0,0,0
Calliostoma virginicum,0,0,0,0,0,3,2,0,1,0,1,0,0,1,0
Calyptraea centralis,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cancellaria tabulata,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Carditamera arata,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0
Carinodrillia smithfieldensis,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
Carinorbis lyra,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0
Carolinapecten eboreus,0,0,0,1,0,0,14,4,0,0,1,0,7,0,3
Caryocorbula conradi,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Caryocorbula inaequalis,0,0,0,8,3,0,29,18,0,37,9,11,3,0,1
Caryocorbula retusa,0,2,0,3,3,0,5,0,0,0,16,0,0,0,1
Caviturritella alumensis,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0
Caviturritella etiwanensis,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0
Caviturritella terstriata,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
Cerastoderma virginianum,0,1,0,12,5,0,2,0,0,1,0,0,0,0,3
Chama congregata,0,95,0,17,0,29,69,14,0,35,0,0,0,9,0
Chama corticosa,0,0,0,3,0,3,3,5,8,0,0,0,0,0,0
Chama emmonsii,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0
Chama striata,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Chesapecten jeffersonius,58,2,46,70,93,0,0,0,0,0,0,0,0,0,0
Chesapecten madisonius,0,0,0,0,0,5,42,8,18,12,3,7,0,46,5
Chesapecten septenarius,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Chioneryx grus,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0
Cinctura rhomboidea,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Clathrodrillia impressa,0,0,0,0,0,0,2,1,0,0,0,0,0,0,9
Cochlodesma antiqua,0,0,0,6,0,0,2,0,0,0,1,1,0,0,0
Compsodrillia eburnea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Conasprella marylandica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Cooperella parilis,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Corbicula densata,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
Corbula cuneata,4,2,0,7,5,0,7,3,0,0,13,38,28,36,1
Costaglycymeris subovata,0,12,9,0,1,0,4,0,0,13,0,0,0,42,4
Crassinella lunulata,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0
Crassispira pyrenoides,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Crepidula adunca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Crepidula convexa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Crepidula cymbaeformis,0,0,0,1,0,0,8,0,0,0,0,0,0,0,5
Crepidula fornicata,0,0,0,0,0,0,128,117,0,82,41,57,0,351,15
Crepidula plana,0,0,0,0,0,0,8,3,0,0,13,29,1,131,14
Crucibulum grandis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Crucibulum leanum,0,0,1,4,0,0,21,1,0,6,12,9,1,31,8
Crucibulum scutellatum,0,0,0,0,0,0,0,0,0,12,0,0,0,25,3
Ctena speciosa,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0
Cyclocardia granulata,15,43,35,530,453,2,44,1,36,16,6,3,0,99,3
Cymatosyrinx aclinica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Cymatosyrinx lunata,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2
Dentimargo aureocincta,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Dentimargo eburneola,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Diodora oblonga,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Diodora redimicula,0,0,1,0,0,4,0,0,0,17,2,3,0,8,0
Diplodonta nucleiformis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Diplodonta punctulata,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2
Divalinga quadrisulcata,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
Dosinia acetabula,1,0,0,0,0,0,7,15,1,3,1,5,137,0,1
Drillia chuckatuckensis,0,0,0,0,0,0,0,0,0,23,0,0,0,12,0
Ecphora quadricostata,0,0,0,1,3,0,5,1,3,0,0,1,0,0,1
Ensis directus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14
Ensis ensiformis,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Ensis hughesi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Ensis schmidti,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Epitonium aciculum,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0
Epitonium cornigerum,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
Epitonium fractum,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Epitonium microstomum,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0
Eucrassatella virginica,1,3,12,19,12,0,37,9,15,12,0,1,0,1,1
Eulima migrans,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
Eupleura caudata,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0
Euspira interna,0,6,0,0,237,0,28,3,0,6,0,0,8,0,0
Euspira sayana,0,0,0,75,0,0,0,2,0,0,0,0,1,1,27
Fusinus exilis,0,0,0,0,0,0,19,3,0,33,0,1,0,76,0
Gari dalli,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Glossus fraterna,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0
Glycymeris americana,0,0,0,3,0,1,12,0,33,0,4,2,0,0,0
Hesperisternia filicata,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Hiatella arctica,0,10,0,8,42,0,0,0,0,0,0,2,0,0,2
Imaclava halei,0,0,0,3,0,0,0,4,0,0,0,0,2,0,8
Iselica globosa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Juliamitrella gardnerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Leporimetis magnoliana,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Lirophora latilirata,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
Lirosoma sulcosa,0,0,0,0,0,0,12,1,5,24,0,0,0,0,3
