Sample Name,Member,Locality,Abbreviation,Locality ID,Latitude,Longitude
230723XBCG ,Sunken Meadow,Carter's Grove,CG,1,"37°12'31.88"" N","76°38'0.11"" W"
AP SM 07CWEB1,Sunken Meadow,Cobham Wharf,CW,2,"37° 09' 52.70"" N","76° 45' 33.30"" W"
AP SM 07MPYB3 ,Sunken Meadow,Mount Pleasant,MP,3,"37° 12' 20.58"" N","76° 49' 22.12"" W"
HB SM CG 1:3,Sunken Meadow,Carter's Grove,CG,1,"37°12'31.88"" N","76°38'0.11"" W"
HB SM CG 3:1,Sunken Meadow,Carter's Grove,CG,1,"37°12'31.88"" N","76°38'0.11"" W"
71LW75 ,Rushmere,Ferguson's Wharf,FW,4,"37°4'3.64"" N ","76°40'9.66"" W"
ET RM,Rushmere,Rushmere's Wharf,RM,5,"37°3'58.6"" N","76°40'9.3"" W"
NS CG1 RM,Rushmere,Carter's Grove,CG,1,"37°12'31.88"" N","76°38'0.11"" W"
NSFW-01RM220620,Rushmere,Ferguson's Wharf,FW,4,"37°4'3.64"" N ","76°40'9.66"" W"
PBDB RM,Rushmere,Rushmere's Wharf,RM,5,"37°3'58.6"" N","76°40'9.3"" W"
70LW1 (Rice’s Pit),Moore House,Rice's Pit,RP,6,"37°3'37.64"" N","76°19'34.51"" W"
ET MH,Moore House,Moore House,MH,7,"37°13'22.40"" N","76°29'7.62"" W"
HGMH3-1,Moore House,Moore House,MH,7,"37°13'22.40"" N","76°29'7.62"" W"
HGMH3-2,Moore House,Moore House,MH,7,"37°13'22.40"" N","76°29'7.62"" W"
RCMB091723 ,Moore House,Morgart's Beach,MB,8,"37°2'0.00"" N ","76°36'11.40"" W"


